Total_position,Total_company,Salary_per_month
图书发行员,北京中视清韵国际文化传媒有限公司,6000.0
图书印制,北京天猿科技有限公司,5000.0
ppt美化,北京亚汽联信息技术有限公司,6000.0
五星级酒店会籍行政客服,《中国知识产权》杂志,3500.0
德语翻译***,北京齐欣互动科技有限公司,4000.0
实习生,江西务本传媒有限公司,10000.0
人事助理,弘科学苑（北京）文化传播有限公司,8000.0
高薪市场总监/经理/专员,北京森喵文化传媒有限公司,4000.0
视频部实习生,门承文化传播（上海）有限公司,4500.0
急聘：前台,盈盛市场顾问（北京）有限责任公司,4000.0
商业连锁—采购主管,安宝示展览展示工程（上海）有限公司,7700.0
展会销售代表,北京思通睿思营销顾问有限责任公司,3000.0
编辑,比高电影城,3300.0
材料科学类 SCIE学术期刊Materials助理编辑,北京优客创想网络科技有限公司,8000.0
投后管理专员,北京大公网科技有限公司,3000.0
国际及国内展览项目助理,北京兴中创国际展示有限公司,4000.0
电话销售,新华文轩出版传媒股份有限公司,4500.0
出纳,北京中商国际展览有限公司,4000.0
总经理助理,《37°女人》杂志,3500.0
应届毕业生,曼迪匹艾（北京）科技服务有限公司,7000.0
运营专员,新华网股份有限公司,8000.0
童书策划编辑（应届毕业生）,北京恒立伟业国际展览有限公司,4166.666666666667
实习编辑,北京爱宝兰装饰设计有限公司,8000.0
销售代表（五险一金—双休）,万达电影股份有限公司,5000.0
论文自由撰稿人远程业余***,北京再上科技有限公司,3000.0
国际展会销售顾问,北京中视福格公关顾问有限公司,4500.0
人事专员,北京蓝色时代国际公关顾问有限公司,4000.0
实习生-编辑,公司名,0
汽车编辑,童趣出版有限公司,4500.0
文案策划,北京融典创世文化有限公司,3000.0
投资主管,北京看购科技有限公司,6000.0
平面设计,河南珠玑科技有限公司,13200.0
市场助理,北京汇和国际展览有限公司,3000.0
销售行政助理（北京）,北京市渠道网络技术开发有限公司,4000.0
外联(采编),中国台湾网,2200.0
Flash设计师,旭峰海波科技（北京）有限公司武汉...,3500.0
影院运营部员工,家国（北京）文化发展有限公司,5000.0
会展接待,北京屋顶文化传媒有限公司,10000.0
项目助理,北京精准联合企划有限公司,4500.0
商务助理,北京美拍拍文化创意有限公司,3000.0
活动执行专员,上海艺言堂形象策划有限公司,6000.0
市场部-市场专员,北京际影视协文化交流中心,3000.0
《致敬达芬奇》招聘实习,北京金松林电脑动画制作有限责任公司,4500.0
音乐公司销售文员,保利影业投资有限公司,2500.0
前台文员,上海翱蒲商务咨询有限公司,3300.0
