Total_position,Total_company,Salary_per_month
底薪3K+地铁口+懒觉班,成都婚加文化传播有限公司,3000.0
网络推广专员,成都婚加文化传播有限公司,3000.0
网络销售专员,成都婚加文化传播有限公司,3000.0
销售助理,帆摄影,3000.0
网络销售专员,帆摄影,3000.0
工程员 LED大屏安装,成都盛之源体育文化传播有限公司,5000.0
睡觉睡到自然醒7小时上班+高提,成都盛之源体育文化传播有限公司,4000.0
招聘助理(待遇从优+人事晋升平台),成都盛之源体育文化传播有限公司,4000.0
应届实习生（包住+带薪培训+有人带）,成都盛之源体育文化传播有限公司,4000.0
市场助理（高回报，待遇从优，发展广阔）,成都盛之源体育文化传播有限公司,5000.0
无责底薪3000元+高提成+丰厚奖励,成都盛之源体育文化传播有限公司,4000.0
风控专员,成都盛之源体育文化传播有限公司,5000.0
前台文秘（底薪+奖金+免费住宿）,深圳市炫彩视听设备有限公司,3000.0
驻外代表（热爱旅游者优先+发展+管理）,成都友利莱文化传播有限公司,8000.0
纯网销3500+高提+多福利,成都方与圆科技有限公司,4500.0
无责底薪3500纯网销+高提,成都方与圆科技有限公司,4500.0
诚聘网络销售底薪3500+,成都方与圆科技有限公司,6000.0
懒觉班7小时网络销售3500,成都爱尚星拓文化传播有限公司,6000.0
月入过万网络销售,四川盛德数科科技有限公司,3500.0
纯网销无责底薪3500+提成+奖金,成都方与圆科技有限公司,3000.0
销售内勤 （双休+社保）,成都方与圆科技有限公司,6000.0
招聘实习生/实训生(可提供岗前实训,成都友利莱文化传播有限公司,8000.0
招聘网页设计/设计学徒工,成都友利莱文化传播有限公司,8000.0
办公室文员,成都友利莱文化传播有限公司,6000.0
文章编审,成都友利莱文化传播有限公司,6000.0
旅游顾问4000+各种奖金+高额提成+周末双休,成都友利莱文化传播有限公司,8000.0
网络销售（婚恋旅游朝阳行业，月薪轻松过万）,公司名,0
欧美互惠生 练就一口地道英语 还年薪七万起,成都友利莱文化传播有限公司,6000.0
办公室文员,成都三三九广告有限公司,3000.0
办公室文员,四川创意茧教育科技有限公司,2000.0
办公室文员,四川创意茧教育科技有限公司,3000.0
办公室文员,成都市巨鼎广告有限公司,3000.0
古装戏》剧组招聘演员艺人导演化妆摄影助理学徒,成都蓝海和创文化传播有限公司,3000.0
招商经理,成都南鼎堂文化传播有限公司,6000.0
全职主播/***主播,成都南鼎堂文化传播有限公司,6000.0
网络主播/视频达人/歌手/艺人,青岛中优德惠文化交流咨询有限公司,5000.0
腾讯广告销售专员,成都市巨鼎广告有限公司,3000.0
导购/店员（崇州万达）,成都市巨鼎广告有限公司,3000.0
网络销售无责任底薪3200,成都市巨鼎广告有限公司,3000.0
高薪急聘网络销售,成都市巨鼎广告有限公司,3000.0
网络销售3200+提成+奖金+补贴,北京巨擘广告制作有限公司,6000.0
网络游戏推广无责3200+提成+补助+奖金,HBO 黄柏超品牌机构,6000.0
艺人星探,成都中视盛泰文化传媒有限公司,5000.0
网络主播（本职位长期有效）,成都中视盛泰文化传媒有限公司,5000.0
销售专员,成都象大科技有限公司,6000.0
宣传推广助理,深圳月步文化科技有限公司,3000.0
市场专员（无责任3K+高提+奖金）,成都易文达商贸有限公司,6000.0
销售助理（无责3K+高提+奖金）,成都易文达商贸有限公司,8000.0
主播/网红艺人,成都易文达商贸有限公司,6000.0
急聘网销代表3500+高提,成都易文达商贸有限公司,6000.0
金融贷款后台销售专员,成都众合艺文化传媒有限公司,4000.0
微信小程序销售代表,成都众合艺文化传媒有限公司,3000.0
文案专员AXION,四川云多多文化传播有限公司,8000.0
新媒体运营/用户运营/活动运营/运营专员,成都华澳展览有限公司,2000.0
内容运营专员/运营策划/市场运营/品牌运营,四川影世文化传媒有限公司,3000.0
售后在线客服/客服代表/话务员/坐席代表,四川影世文化传媒有限公司,4000.0
市场营销专员/营销策划专员/企划专员,四川麦播时尚影视传媒有限公司,12500.0
文员/行政前台/行政秘书/助理/行政人事,成都友利莱文化传播有限公司,6000.0
行政助理/文员/行政人事/行政前台/销售行政,成都耀基科技有限公司,4500.0
人事助理/人事专员/人力资源/人事行政/人事,成都耀基科技有限公司,6000.0
商务助理/商务运营/商务文员/市场,成都魔擎文化产业有限公司,4000.0
销售代表/业务代表/销售顾问/客户代表/营销,成都星润商业管理有限公司,6500.0
产品推广/产品助理/产品运营/产品策划专员,成都星润商业管理有限公司,8000.0
新媒体运营/用户运营/活动运营/运营助理/媒体运营,成都星润商业管理有限公司,6000.0
运营助理/行政专员/市场助理/市场营销专员,成都星润商业管理有限公司,6500.0
售后客服/淘宝客服/电话客服/天猫客服,成都星润商业管理有限公司,4300.0
市场专员/市场营销/文案策划/市场推广,成都星润商业管理有限公司,4300.0
行政文员/文员/客服文员/行政人事/前台,成都星润商业管理有限公司,5000.0
