Total_position,Total_company,Salary_per_month
工业设计优秀应届毕业生,深圳市日强企业形象策划有限公司,6000.0
展览设计师,深圳市新经典电影制作发行有限公司,3500.0
人事专员,深圳市注艺影业有限公司,3500.0
编辑助理,我看网络技术（北京）有限公司,4000.0
少儿美术老师,深圳圣雅阁文化传播有限公司,3500.0
文案助理,深圳市魔力体育文化发展有限公司,4000.0
文案/策划,深圳市佳胜实业有限公司,4000.0
新媒体运营实习生,飞书互动,4500.0
运营助理（电商）,深圳市柏斯工业设计有限公司,3000.0
英文采编/图书编辑,深圳市英卡伦展览设计有限公司,8000.0
前台-（运营部门）-深圳市喜悦商业管理有限公司,深圳世纪云文化传媒有限公司,5000.0
广告制作,深圳市中自信息技术有限公司,4500.0
包吃住诚聘喷绘后期制作（急聘）,深圳市克里艺术文化发展有限公司,4500.0
记者/采编(欢迎新闻、电子专业应届毕业生),深圳市紫石文化传播有限公司,5000.0
渠道招商经理,深圳市第一生产力广告有限公司,3000.0
人事助理,深圳市卓影网络科技有限公司,4500.0
销售实习生,鑫商圈集团（深圳）有限公司,3000.0
旅游产品销售,深圳市艺力文化发展有限公司,4000.0
日本站业务员（日语）,深圳市京城传媒有限公司,4000.0
市场专员/市场推广人员,深圳市匪思设计有限公司,6000.0
营销顾问,深圳市浩之源数码科技有限公司,4000.0
影城储备店长,第一手机界研究院,5000.0
电话销售,深圳市君诚科技有限公司,6000.0
销售部文员,深圳市东信时代信息技术有限公司,4000.0
储备干部 实习生包住宿,深圳市创意时代会展有限公司,3000.0
网络主播,深圳市经典大卫文化发展有限公司,5000.0
助理工业设计师/实习工业设计师,深圳市祺胜协能电子有限公司,6000.0
婚恋咨询顾问（上市企业+带薪年假）,深圳市和成东方管理咨询有限公司,5000.0
前台行政文员,深圳市九翼包装设计有限公司,5000.0
AE/客户代表,深圳市华影信和影院管理有限公司,4000.0
技术员/技工,深圳市卓艺精品文化发展有限公司,3000.0
高薪急聘 网站编辑,深圳慧客商旅有限公司,3500.0
市场经理,深圳市子和实业发展有限公司,4000.0
AE助理,深圳市名流文化传媒有限公司,10000.0
淘宝客服,深圳市橄榄树工业设计有限公司,3000.0
可提供住宿+销售代表/招生顾问/课程销售+社保带薪年假,深圳市投缘文化传播有限公司,6000.0
收银做一休一,深圳市思迈企业形象策划有限公司,4500.0
人事行政专员-深圳分公司,深圳市力度广告有限公司,3000.0
区域销售,深圳市海晨科技有限公司,3000.0
助理AE （应届毕业生）,电子创新网,4500.0
总经理助理,广东易凌科技股份有限公司,6000.0
私人影院店员/营业员,深圳市联纵文化传播有限公司,3000.0
平面设计师助理,深圳市喵家品牌管理有限公司,3500.0
销售代表,深圳市创艺之家文化传播有限公司,4500.0
